Animal,Animal Identifcation,Year,Threat Categories (Impact)
"Pig-footed Bandicoot
(Chaeropus ecaudatus)",Mammals,1901,"Agriculture and Aquaculture (1)
Problem and Invasive Species, Genes and Disease (6)"
"Greater Amakihi
(Viridonia sagittirostris)",Birds,1901,Agriculture and Aquaculture (5)
"Auckland Merganser
(Mergus australis)",Birds,1902,"Biological Resource Use (4)
Problem and Invasive Species, Genes and Disease (0)"
"North Island Piopio
(Turnagra tanagra)",Birds,1902,"Agriculture and Aquaculture (0)
Biological Resource Use (0)
Problem and Invasive Species, Genes and Disease (0)"
"Long-tailed Hopping-mouse
(Notomys longicaudatus)",Mammals,1902,"Problem and Invasive Species, Genes and Disease (6)"
"Guadalupe Caracara
(Caracara lutosa)",Birds,1903,"Agriculture and Aquaculture (4)
Biological Resource Use (6)"
"Choiseul Pigeon
(Microgoura meeki)",Birds,1904,"Problem and Invasive Species, Genes and Disease (5)"
"Maclear's Rat
(Rattus macleari)",Mammals,1904,"Problem and Invasive Species, Genes and Disease (6)"
"South Island Piopio
(Turnagra capensis)",Birds,1905,"Problem and Invasive Species, Genes and Disease (6)"
"Chatham Bellbird
(Anthornis melanocephala)",Birds,1906,"Biological Resource Use (0)
Problem and Invasive Species, Genes and Disease (0)"
"Black Mamo
(Drepanis funerea)",Birds,1907,"Agriculture and Aquaculture (0)
Problem and Invasive Species, Genes and Disease (0)"
"Huia
(Heteralocha acutirostris)",Birds,1907,"Biological Resource Use (0)
Problem and Invasive Species, Genes and Disease (0)"
"Robust White-eye
(Zosterops strenuus)",Birds,1908,"Problem and Invasive Species, Genes and Disease (6)"
"Slender-billed Grackle
(Quiscalus palustris)",Birds,1910,Agriculture and Aquaculture (6)
"Cape Verde Giant Skink
(Chioninia coctei)",Reptiles,1912,"Biological Resource Use (0)
Problem and Invasive Species, Genes and Disease (4)"
