Animal,Animal Identifcation,Year,Residential and Commercial Development,Agriculture and Aquaculture,Energy Production and Mining,Biological Resource Use,Human Intrusions and Disturbance,Natural Systems Modifications,Problem and Invasive Species Genes and Disease,Pollution,Geological Events,Climate Change and Severe Weather
Pig-footed Bandicoot (Chaeropus ecaudatus),Mammals,1901,0,1,0,0,0,0,6,0,0,0
Greater Amakihi (Viridonia sagittirostris),Birds,1901,0,5,0,0,0,0,0,0,0,0
Auckland Merganser (Mergus australis),Birds,1902,0,0,0,4,0,0,0,0,0,0
North Island Piopio (Turnagra tanagra),Birds,1902,0,7,0,7,0,0,7,0,0,0
Long-tailed Hopping-mouse (Notomys longicaudatus),Mammals,1902,0,0,0,0,0,0,6,0,0,0
Guadalupe Caracara (Caracara lutosa),Birds,1903,0,4,0,6,0,0,0,0,0,0
Choiseul Pigeon (Microgoura meeki),Birds,1904,0,0,0,0,0,0,5,0,0,0
Maclear's Rat (Rattus macleari),Mammals,1904,0,0,0,0,0,0,6,0,0,0
South Island Piopio (Turnagra capensis),Birds,1905,0,0,0,0,0,0,6,0,0,0
Chatham Bellbird (Anthornis melanocephala),Birds,1906,0,0,0,7,0,0,7,0,0,0
Black Mamo (Drepanis funerea),Birds,1907,0,7,0,0,0,0,7,0,0,0
Huia (Heteralocha acutirostris),Birds,1907,0,0,0,0,0,0,7,0,0,0
Robust White-eye (Zosterops strenuus),Birds,1908,0,0,0,0,0,0,6,0,0,0
Slender-billed Grackle (Quiscalus palustris),Birds,1910,0,6,0,0,0,0,0,0,0,0
Cape Verde Giant Skink (Chioninia coctei),Reptiles,1912,0,0,0,7,0,0,4,0,0,0
Canarian Oystercatcher (Haematopus meadewaldoi),Birds,1913,0,0,0,7,7,0,7,0,0,0
Passenger Pigeon (Ectopistes migratorius),Birds,1914,0,7,0,7,0,0,4,0,0,0
Laughing Owl (Sceloglaux albifacies),Birds,1914,0,7,0,0,0,7,7,0,0,0
Carolina Parakeet (Conuropsis carolinensis),Birds,1918,7,0,0,7,0,0,4,0,0,0
Lanai Hookbill (Dysmorodrepanis munroi),Birds,1918,0,7,0,0,0,0,7,0,0,0
Coregonus fera,Fish,1920,0,0,0,7,0,0,0,7,0,0
Red-moustached Fruit-dove (Ptilinopus mercierii),Birds,1922,0,0,0,0,0,0,5,0,0,0
Norfolk Starling (Aplonis fusca),Birds,1923,0,0,0,7,0,0,5,0,0,0
Laysan Honeycreeper (Himatione fraithii),Birds,1923,0,0,0,0,0,0,5,0,0,0
Thick-billed Ground-dove (Alopecoenas salamonis),Birds,1927,0,1,0,1,0,0,2,0,0,0
Utah Lake Sculpin (Cottus echinatus),Fish,1928,0,0,0,0,0,0,7,0,7,7
Lord Howe Gerygone (Gerygone insularis),Birds,1928,0,0,0,0,0,0,5,0,0,0
Paradise Parrot (Psephotellus pulcherrimus),Birds,1928,0,7,0,7,0,7,7,0,0,4
Eastwood's Longtailed Seps (Tetradactylus eastwood),Reptiles,1928,7,7,0,0,0,7,0,0,0,0
Oahu Akepa (Loxops wolstenholmei),Birds,1930,0,3,0,0,0,0,5,0,0,0
Darwin's Galapagos Mouse (Nesoryzomys darwini),Mammals,1930,0,0,0,0,0,0,7,0,0,0
Yallara (Macrotis leucura),Mammals,1931,0,0,0,0,0,4,6,0,0,0
Kuluwarri (Lagorchestes asomatus),Mammals,1932,0,0,0,0,0,4,6,0,0,0
Desert Bettong (Bettongia anhydra),Mammals,1933,0,0,0,0,0,4,6,0,0,0
Lesser Stick-nest Rat (Leporillus apicalis),Mammals,1933,0,5,0,0,0,0,6,0,0,0
New Zealand Grayling  (Prototroctes oxyrhynchus),Fish,1933,7,0,0,5,0,0,5,0,0,0
Hawaii Oo (Moho nobilis),Birds,1934,0,0,0,7,0,0,7,0,0,0
Indefatigable Galapagos Mouse  (Nesoryzomys indefessus),Mammals,1934,0,0,0,0,0,0,7,0,0,0
Desert Rat Kangaroo (Caloprymnus campestris),Mammals,1935,0,0,0,0,0,0,7,0,0,0
Tahiti Rail (Hypotaenidia pacifica),Birds,1935,0,0,0,0,0,0,5,0,0,0
Nuku Hiva Monarch (Pomarea nukuhivae),Birds,1935,0,0,0,0,0,3,5,0,0,0
Ryukyu Woodpigeon (Columba jouyi),Birds,1936,0,0,0,6,0,0,7,0,0,0
Thylacine (Thylacinus cynocephalus),Mammals,1936,0,4,0,4,0,0,0,0,0,0
Marquesan Swamphen (Porphyrio paepae),Birds,1937,0,0,0,5,0,0,5,0,0,0
Salmo pallaryi,Fish,1937,0,0,0,0,0,0,7,0,0,0
Pahranagat Spinedace (Lepidomeda altivelis),Fish,1938,0,0,0,0,0,0,7,0,0,0
Schomburgk's Deer (Rucervus schomburgki),Mammals,1938,0,7,0,7,0,0,0,0,0,0
Grand Cayman rush (Turdus ravidus),Birds,1938,0,0,0,7,0,0,0,0,0,0
Toolache Wallaby (Macropus greyi),Mammals,1939,0,6,0,5,0,0,0,0,0,0
Hawaii Akialoa (Akialoa obscura),Birds,1940,0,7,0,7,0,0,5,0,0,0
Las Vegas Leopard Frog (Lithobates sheri),Amphibians,1942,0,0,0,0,0,7,7,0,0,0
Desert Bandicoot (Perameles eremiana),Mammals,1943,0,0,0,7,0,7,7,0,0,0
Laysan Rail (Zapornia palmeri),Birds,1944,0,0,0,0,0,0,3,0,0,3
Wake Rail (Hypotaenidia wakensis),Birds,1945,0,0,0,6,0,0,0,0,0,1
Crescent Nailtail Wallaby (Onychogalea lunata),Mammals,1945,0,2,0,0,0,3,6,0,0,0
Ash Meadows Poolfish (Empetrichthys merriami),Fish,1948,0,0,0,0,0,7,7,0,0,0
Queen of Sheba's Gazelle (Gazella bilkis),Mammals,1951,0,0,0,7,0,0,0,0,0,0
Japanese Sea Lion (Zalophus japonicus),Mammals,1951,0,0,0,6,0,0,0,0,0,0
Caribbean Monk Seal (Neomonachus tropicalis),Mammals,1952,0,0,0,7,0,0,0,0,0,0
Tristramella magdelainae,Fish,1955,0,0,0,0,0,7,0,0,0,7
Little Swan Island Hutia (Geocapromys thoracatus),Mammals,1955,0,0,0,0,0,7,0,0,0,7
Atelopus vogli,Amphibians,1957,0,7,0,0,0,0,0,0,0,0
Thicktail Chub (Gila crassicauda),Fish,1957,0,0,0,0,0,6,6,0,0,0
Candango Mouse (Juscelinomys candango),Mammals,1960,7,0,0,0,0,0,0,0,0,0
Gracile Mouse Opossum (Cryptonanus ignitus),Mammals,1962,0,7,0,7,0,0,0,0,0,0
Ptychochromis onilahy,Fish,1962,0,0,0,7,0,0,7,0,0,0
Barbados Racer (Erythrolamprus perfuscus),Reptiles,1963,7,0,0,0,0,0,6,0,0,0
Pantanodon madagascariensis,Fish,1963,0,7,0,7,0,0,5,0,0,0
Kakawahie (Paroreomyza flammea),Birds,1963,0,0,0,7,0,0,5,0,0,0
South Island Snipe (Coenocorypha iredalei),Birds,1964,0,0,0,0,0,0,4,0,0,0
Ainsworth's Salamander (Plethodon ainsworthi),Amphibians,1964,0,0,0,7,0,0,0,0,0,0
Gasterosteus crenobiontus,Fish,1965,0,0,0,0,0,0,7,0,0,0
Guam Flying Fox (Pteropus tokudae),Mammals,1968,0,0,0,7,0,0,7,0,0,0
Guam Reed-warbler (Acrocephalus luscinius),Birds,1969,2,2,0,0,0,2,6,0,3,0
Kauai Akialoa (Akialoa stejnegeri),Birds,1969,0,0,0,4,0,0,5,0,0,7
Blackfin Cisco (Coregonus nigripinnis),Fish,1969,0,0,0,7,0,0,7,0,0,0
Clear Lake Splittail (Pogonichthys ciscoides),Fish,1970,0,0,0,0,0,7,7,7,0,0
Santa Cruz Pupfish (Cyprinodon arcuatus),Fish,1971,0,0,0,0,0,7,7,0,0,0
Bushwren (Xenicus longipes),Birds,1972,0,0,0,0,0,0,4,0,0,0
Bar-winged Rail (Hypotaenidia poeciloptera),Birds,1973,0,0,0,0,0,0,7,0,0,0
Pagan Reed-warbler (Acrocephalus yamashinae),Birds,1973,2,2,0,0,0,2,5,0,3,0
Coregonus gutturosus,Fish,1973,0,0,0,0,0,0,0,7,0,0
Hula Bream (Mirogrex hulensis),Fish,1975,0,0,0,0,0,7,0,0,0,0
Phantom Shiner (Notropis orca),Fish,1975,0,0,0,0,0,7,7,7,0,0
Tristramella intermedia,Fish,1975,0,0,0,0,0,7,0,0,0,0
Contomastix charrua,Reptiles,1977,7,0,0,0,0,0,7,0,0,0
Colombian Grebe (Podiceps andinus),Birds,1977,0,5,0,5,0,5,5,5,0,0
Eiao Monarch (Pomarea fluxa),Birds,1977,0,3,0,0,0,0,5,0,0,0
Siamese flat-barbelled catfish (Platytropius siamensis),Fish,1977,0,0,0,0,0,6,0,4,0,0
Yunnan Lake Newt (Hypselotriton wolterstorffi),Amphibians,1979,0,7,0,7,0,0,7,7,0,0
Mount Glorious Day Frog (Taudactylus diurnus),Amphibians,1979,7,0,7,7,7,7,7,7,0,0
Gölçük Toothcarp (Aphanius splendens),Fish,1980,0,0,0,0,0,0,7,0,0,0
Anabarilius macrolepis,Fish,1981,0,0,0,0,0,6,0,7,0,0
